time_ms,pattern_id,phase,route_quality,candidate_admissible,candidate_latency_ms,candidate_cost,relapse_phase,route_class,degradation_onset_ms
0.0,7,stable,1.0,True,9.60941534404651,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
20.0,5,stable,1.0,True,4.465023146597866,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
40.0,7,stable,1.0,True,9.426849938215407,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
60.0,5,stable,1.0,True,8.955525310140928,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
80.0,3,stable,1.0,True,1.0,0.3,STABLE,CONTROL,86500.0
100.0,7,stable,1.0,True,9.286517334426325,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
120.0,2,stable,1.0,True,8.63457722337352,0.3,STABLE,CONTROL,86500.0
140.0,4,stable,1.0,True,7.2015190174067465,0.3,STABLE,CONTROL,86500.0
160.0,0,stable,1.0,True,5.96929413500339,0.3,STABLE,PERSISTENT_FAILURE,86500.0
180.0,3,stable,1.0,True,5.988947868913577,0.3,STABLE,CONTROL,86500.0
200.0,4,stable,1.0,True,9.396084062817039,0.3,STABLE,CONTROL,86500.0
220.0,4,stable,1.0,True,9.428461475171257,0.3,STABLE,CONTROL,86500.0
240.0,4,stable,1.0,True,8.115204062584224,0.3,STABLE,CONTROL,86500.0
260.0,5,stable,1.0,True,10.791025593305212,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
280.0,0,stable,1.0,True,8.027054013426003,0.3,STABLE,PERSISTENT_FAILURE,86500.0
300.0,6,stable,1.0,True,9.613477494921945,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
320.0,4,stable,1.0,True,8.558629297268746,0.3,STABLE,CONTROL,86500.0
340.0,5,stable,1.0,True,11.023084050412958,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
360.0,6,stable,1.0,True,8.228694278488547,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
380.0,5,stable,1.0,True,7.39905633698009,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
400.0,4,stable,1.0,True,7.971606464251182,0.3,STABLE,CONTROL,86500.0
420.0,7,stable,1.0,True,10.31425000533369,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
440.0,3,stable,1.0,True,5.624533030466441,0.3,STABLE,CONTROL,86500.0
460.0,6,stable,1.0,True,7.267621562750657,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
480.0,7,stable,1.0,True,13.454162973378006,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
500.0,7,stable,1.0,True,4.942100845668483,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
520.0,0,stable,1.0,True,10.942000155895215,0.3,STABLE,PERSISTENT_FAILURE,86500.0
540.0,6,stable,1.0,True,9.743042116928198,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
560.0,2,stable,1.0,True,11.794614318879566,0.3,STABLE,CONTROL,86500.0
580.0,2,stable,1.0,True,8.170643356545137,0.3,STABLE,CONTROL,86500.0
600.0,7,stable,1.0,True,7.099690861281949,0.3,STABLE,BORDERLINE_RELAPSE,86500.0
620.0,3,stable,1.0,True,9.665027949778892,0.3,STABLE,CONTROL,86500.0
640.0,2,stable,1.0,True,8.521929098089501,0.3,STABLE,CONTROL,86500.0
